event_cause,veh_type,corridor,requires_road_closure,priority,hour_ist,day_of_week,incident_duration_min
vehicle_breakdown,others,Non-corridor,False,Low,9,Friday,104.21347743333334
vehicle_breakdown,private_car,Old Airport Road,False,High,9,Friday,70.8526748
vehicle_breakdown,heavy_vehicle,Magadi Road,False,High,9,Friday,72.9697583
construction,unknown,Bellary Road 2,False,High,9,Thursday,60.798384383333335
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,9,Thursday,78.98550595
vehicle_breakdown,lcv,Old Airport Road,False,High,11,Thursday,28.37677448333333
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,11,Friday,93.05635131666666
vehicle_breakdown,others,Hosur Road,False,High,12,Thursday,11.49699995
others,unknown,Non-corridor,False,Low,11,Friday,199.88949181666663
vehicle_breakdown,private_bus,Hosur Road,False,High,14,Thursday,75.03727443333334
tree_fall,unknown,Non-corridor,True,Low,12,Friday,105.48940756666666
tree_fall,unknown,Non-corridor,False,Low,12,Friday,2198.129693766667
vehicle_breakdown,lcv,Mysore Road,False,High,2,Friday,57.51257438333334
tree_fall,unknown,Non-corridor,False,Low,12,Friday,2195.455855816667
vehicle_breakdown,heavy_vehicle,Tumkur Road,False,High,2,Friday,33.33879541666667
vehicle_breakdown,private_bus,Mysore Road,False,High,12,Friday,39.6093981
vehicle_breakdown,private_car,Tumkur Road,False,High,13,Friday,10.150965166666667
tree_fall,unknown,Non-corridor,True,Low,13,Friday,66.3340463
vehicle_breakdown,bmtc_bus,ORR East 1,False,High,4,Friday,19.115834
others,unknown,Non-corridor,True,Low,6,Friday,42.96236663333333
road_conditions,unknown,Non-corridor,False,Low,9,Friday,1107.119046283333
others,unknown,Non-corridor,False,Low,9,Friday,87.31756581666667
vehicle_breakdown,others,Tumkur Road,False,High,10,Friday,30.63011775
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,12,Friday,18.7735204
vehicle_breakdown,lcv,Non-corridor,False,Low,12,Friday,77.0688961
water_logging,unknown,Non-corridor,False,Low,14,Friday,820.8788695333334
others,unknown,Non-corridor,False,Low,16,Friday,25.36762938333333
accident,unknown,Old Airport Road,False,High,0,Saturday,35.956496816666665
others,unknown,Mysore Road,False,High,2,Saturday,1922.4556106166667
others,unknown,Mysore Road,False,High,2,Saturday,17.062712316666666
vehicle_breakdown,lcv,Non-corridor,False,Low,3,Saturday,35.28199905
others,unknown,Non-corridor,False,Low,3,Saturday,3015.3421913166667
vehicle_breakdown,private_car,ORR West 1,False,High,5,Saturday,20.211203416666667
accident,unknown,Non-corridor,False,Low,1,Saturday,78.2774947
vehicle_breakdown,truck,ORR West 1,False,High,9,Saturday,36.08605643333333
vehicle_breakdown,bmtc_bus,Tumkur Road,False,High,11,Saturday,132.2670364
vehicle_breakdown,bmtc_bus,Hosur Road,False,High,12,Saturday,96.5241556
others,unknown,Non-corridor,False,Low,11,Saturday,2522.9359043
tree_fall,unknown,Non-corridor,False,Low,3,Saturday,508.2992390666667
vehicle_breakdown,others,ORR West 1,False,High,3,Saturday,75.99775528333333
vehicle_breakdown,heavy_vehicle,ORR North 1,False,High,22,Saturday,80.29286535
others,unknown,Mysore Road,False,High,1,Sunday,36.87994801666667
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,3,Sunday,83.28090113333333
vehicle_breakdown,private_car,Non-corridor,False,Low,4,Sunday,23.75329868333333
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,4,Sunday,73.46585520000001
vehicle_breakdown,lcv,Bellary Road 1,False,High,4,Sunday,92.67076003333334
vehicle_breakdown,ksrtc_bus,Non-corridor,False,Low,5,Sunday,12.90432295
vehicle_breakdown,heavy_vehicle,Tumkur Road,False,High,8,Sunday,102.77983355
others,unknown,Bellary Road 2,False,High,7,Sunday,1654.0888025333334
vehicle_breakdown,ksrtc_bus,Tumkur Road,False,High,7,Sunday,104.3606748
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,9,Sunday,79.53191238333334
vehicle_breakdown,others,Non-corridor,False,Low,7,Saturday,69.83975466666668
vehicle_breakdown,auto,Non-corridor,False,Low,11,Sunday,15.854282233333333
vehicle_breakdown,lcv,Mysore Road,False,High,10,Saturday,39.93153236666667
others,unknown,Magadi Road,False,High,12,Saturday,24.95513465
vehicle_breakdown,bmtc_bus,Non-corridor,True,Low,0,Monday,24.74976433333333
vehicle_breakdown,truck,Magadi Road,False,High,1,Monday,107.40422818333332
water_logging,unknown,Non-corridor,False,Low,13,Saturday,634.7593560833334
tree_fall,unknown,ORR West 1,False,High,13,Saturday,628.0100223833334
vehicle_breakdown,bmtc_bus,ORR West 1,False,High,4,Monday,39.40781505
accident,unknown,Tumkur Road,False,High,4,Monday,34.37267258333333
vehicle_breakdown,private_car,Tumkur Road,False,High,5,Monday,45.264776866666665
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,6,Monday,45.61544075
vehicle_breakdown,truck,Magadi Road,False,High,7,Monday,77.75613968333333
others,unknown,ORR East 2,False,High,8,Monday,18.06991683333333
vehicle_breakdown,bmtc_bus,ORR North 2,False,High,9,Monday,90.19006885
water_logging,unknown,Non-corridor,False,Low,13,Saturday,1043.3983678333332
water_logging,unknown,Non-corridor,False,Low,13,Saturday,1039.9556850166666
water_logging,unknown,Non-corridor,False,Low,12,Monday,3481.07047895
tree_fall,unknown,Hosur Road,False,High,13,Saturday,62.19627536666667
vehicle_breakdown,heavy_vehicle,Bellary Road 2,False,High,18,Monday,76.96167763333332
others,unknown,Mysore Road,False,High,2,Tuesday,1862.94228465
water_logging,unknown,ORR West 1,False,High,2,Tuesday,3321.72448815
others,unknown,Non-corridor,False,Low,15,Saturday,567.0433455166666
tree_fall,unknown,Mysore Road,False,High,17,Saturday,2191.5870473500004
tree_fall,unknown,Non-corridor,False,Low,23,Saturday,1938.8078038166668
vehicle_breakdown,truck,Non-corridor,False,Low,0,Sunday,75.83953751666667
others,unknown,Non-corridor,False,Low,3,Tuesday,19.413640933333333
vehicle_breakdown,others,Bellary Road 1,False,High,5,Tuesday,21.48659638333333
vehicle_breakdown,bmtc_bus,Old Airport Road,False,High,5,Tuesday,10.285472433333332
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,4,Tuesday,78.04236811666667
vehicle_breakdown,bmtc_bus,Old Airport Road,False,High,1,Sunday,85.34070533333333
vehicle_breakdown,lcv,Bellary Road 1,False,High,0,Sunday,74.08036368333335
vehicle_breakdown,heavy_vehicle,Hosur Road,False,High,8,Tuesday,57.48541201666667
accident,unknown,Bellary Road 1,False,High,10,Tuesday,16.25948615
vehicle_breakdown,bmtc_bus,Bellary Road 1,False,High,4,Sunday,88.67010386666668
vehicle_breakdown,lcv,ORR North 2,False,High,5,Sunday,49.33388356666667
road_conditions,unknown,Bannerghata Road,False,High,11,Tuesday,41.26528335
vehicle_breakdown,private_bus,Bellary Road 2,False,High,0,Wednesday,35.9550146
vehicle_breakdown,bmtc_bus,Tumkur Road,False,High,6,Sunday,11.41129385
accident,unknown,Bellary Road 2,False,High,0,Wednesday,65.95049823333333
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,2,Wednesday,28.716758966666664
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,1,Wednesday,131.20510380000002
vehicle_breakdown,heavy_vehicle,Tumkur Road,False,High,9,Sunday,125.82290351666668
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,4,Wednesday,51.52973378333333
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,7,Wednesday,18.3825912
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,9,Wednesday,14.79356025
vehicle_breakdown,heavy_vehicle,Hennur Main Road,False,High,10,Wednesday,100.59974936666669
vehicle_breakdown,others,Magadi Road,False,High,9,Sunday,102.56760073333334
others,unknown,Magadi Road,False,High,10,Sunday,156.8681104
others,unknown,ORR North 1,False,High,12,Wednesday,65.11967595
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,10,Sunday,46.61182065
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,17,Wednesday,41.68652611666666
vehicle_breakdown,bmtc_bus,Varthur Road,False,High,10,Sunday,37.8018373
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,10,Sunday,118.13179021666666
vehicle_breakdown,others,Non-corridor,False,Low,22,Wednesday,58.84397311666667
vehicle_breakdown,private_car,Bellary Road 1,False,High,0,Thursday,40.3799524
others,unknown,Non-corridor,False,Low,2,Thursday,187.7209152833333
others,unknown,Non-corridor,False,Low,11,Sunday,48.6091393
accident,unknown,Non-corridor,False,Low,5,Thursday,4.357959916666667
others,unknown,Tumkur Road,False,High,5,Thursday,1303.7770233833332
vehicle_breakdown,lcv,Non-corridor,False,Low,12,Sunday,41.98896968333334
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,12,Sunday,99.42997705
others,unknown,Non-corridor,False,Low,12,Sunday,2267.11059435
vehicle_breakdown,lcv,Varthur Road,False,High,9,Thursday,59.29006258333333
vehicle_breakdown,others,Non-corridor,False,Low,9,Thursday,15.77857665
vehicle_breakdown,heavy_vehicle,Bellary Road 1,False,High,15,Sunday,105.14612633333331
tree_fall,unknown,Non-corridor,True,Low,0,Monday,56.79600258333333
vehicle_breakdown,heavy_vehicle,Bellary Road 2,False,High,15,Thursday,45.69163531666666
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,2,Monday,42.935636433333336
others,unknown,Non-corridor,False,Low,2,Monday,280.83443520000003
others,unknown,Hosur Road,False,High,23,Thursday,26.72452003333333
vehicle_breakdown,ksrtc_bus,Non-corridor,False,Low,0,Friday,95.82774763333332
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,4,Monday,129.19878353333334
vehicle_breakdown,bmtc_bus,Tumkur Road,False,High,4,Monday,19.84877475
others,unknown,Magadi Road,False,High,1,Friday,611.3854716000001
vehicle_breakdown,ksrtc_bus,West of Chord Road,False,High,6,Monday,115.28882806666668
vehicle_breakdown,bmtc_bus,Varthur Road,False,High,3,Friday,98.82358633333334
others,unknown,Tumkur Road,False,High,3,Friday,1327.4565705999998
vehicle_breakdown,ksrtc_bus,Bellary Road 1,False,High,4,Friday,12.097447016666669
vehicle_breakdown,lcv,Bannerghata Road,False,High,7,Monday,10.48741705
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,5,Friday,73.79083653333333
vehicle_breakdown,private_bus,Mysore Road,False,High,8,Monday,48.54255426666667
vehicle_breakdown,bmtc_bus,Non-corridor,True,Low,8,Friday,27.657876616666663
vehicle_breakdown,others,Tumkur Road,False,High,10,Friday,148.41387268333335
others,unknown,Mysore Road,False,High,10,Monday,154.96781246666666
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,9,Monday,119.41805865
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,11,Friday,30.14560906666667
vehicle_breakdown,others,Non-corridor,False,Low,12,Monday,71.70723046666667
vehicle_breakdown,private_bus,Mysore Road,False,High,14,Friday,41.48662983333334
tree_fall,unknown,West of Chord Road,False,High,15,Monday,31.80648258333333
vehicle_breakdown,private_bus,Hosur Road,False,High,15,Friday,47.11091685
others,unknown,Bellary Road 1,False,High,23,Monday,32.5370269
tree_fall,unknown,Non-corridor,False,Low,17,Friday,358.28831121666667
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,22,Friday,95.20728398333334
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,0,Saturday,38.20984111666667
pot_holes,unknown,Bannerghata Road,False,High,2,Saturday,1487.2023295833335
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,0,Saturday,20.381774716666666
accident,unknown,ORR East 1,False,High,4,Saturday,52.74507428333333
vehicle_breakdown,truck,Non-corridor,False,Low,4,Saturday,53.86242988333333
vehicle_breakdown,ksrtc_bus,Non-corridor,False,Low,2,Tuesday,58.697027133333336
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,2,Tuesday,75.01906000000001
construction,unknown,Non-corridor,False,Low,9,Saturday,969.3087974
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,9,Saturday,22.188365633333333
vehicle_breakdown,auto,Bellary Road 1,False,High,9,Saturday,53.13025051666667
vehicle_breakdown,lcv,Non-corridor,False,Low,3,Tuesday,81.64968848333334
vehicle_breakdown,lcv,Old Airport Road,False,High,12,Saturday,15.971929466666667
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,12,Saturday,78.58225675
vehicle_breakdown,private_bus,Bellary Road 1,False,High,17,Saturday,114.21673276666668
construction,unknown,Non-corridor,False,Low,1,Sunday,366.65548681666667
others,unknown,Mysore Road,False,High,9,Tuesday,76.24653713333333
water_logging,unknown,Non-corridor,False,Low,10,Tuesday,137.85110428333334
vehicle_breakdown,lcv,Hosur Road,False,High,10,Tuesday,79.27560286666667
vehicle_breakdown,private_bus,Hosur Road,False,High,11,Tuesday,96.84268413333332
others,unknown,CBD 2,False,High,3,Sunday,75.09085913333334
vehicle_breakdown,others,Magadi Road,False,High,7,Sunday,17.01463426666667
road_conditions,unknown,Non-corridor,False,Low,12,Tuesday,1386.89255105
vehicle_breakdown,bmtc_bus,Non-corridor,True,Low,8,Sunday,39.4856103
vehicle_breakdown,heavy_vehicle,Tumkur Road,False,High,8,Sunday,16.270418616666667
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,10,Sunday,138.70672721666668
accident,unknown,Mysore Road,False,High,10,Sunday,32.826353266666665
procession,unknown,Non-corridor,False,Low,13,Sunday,36.53795035
procession,unknown,Non-corridor,False,Low,14,Sunday,29.108712066666666
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,14,Sunday,92.15842395
others,unknown,Tumkur Road,False,High,17,Sunday,355.29140055
vehicle_breakdown,private_car,Bellary Road 1,False,High,16,Sunday,12.875058366666668
vehicle_breakdown,heavy_vehicle,CBD 2,False,High,1,Monday,83.6431582
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,1,Monday,54.19506535
vehicle_breakdown,heavy_vehicle,Non-corridor,True,Low,4,Monday,21.73580035
vehicle_breakdown,lcv,Non-corridor,False,Low,4,Monday,27.90641395
vehicle_breakdown,bmtc_bus,Bellary Road 1,False,High,5,Monday,26.02119336666667
vehicle_breakdown,private_bus,Non-corridor,True,Low,0,Tuesday,19.236815733333334
others,unknown,Non-corridor,False,Low,0,Tuesday,3812.035816
vehicle_breakdown,heavy_vehicle,Tumkur Road,False,High,23,Tuesday,77.64849921666668
construction,unknown,ORR East 2,True,High,2,Tuesday,2852.1638163166667
vehicle_breakdown,private_bus,ORR North 1,False,High,2,Wednesday,43.703668050000005
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,1,Wednesday,18.12563553333333
vehicle_breakdown,bmtc_bus,Old Airport Road,False,High,1,Wednesday,69.32541208333333
others,unknown,Non-corridor,False,Low,2,Wednesday,43.829488833333336
vehicle_breakdown,others,Mysore Road,False,High,2,Wednesday,107.36787663333332
vehicle_breakdown,lcv,Tumkur Road,False,High,4,Tuesday,141.42639348333333
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,5,Wednesday,99.77792416666666
vehicle_breakdown,auto,Non-corridor,False,Low,7,Tuesday,71.35226383333334
vehicle_breakdown,bmtc_bus,Bellary Road 1,False,High,7,Tuesday,60.9291782
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,8,Tuesday,13.084814833333333
vehicle_breakdown,heavy_vehicle,ORR East 1,False,High,8,Wednesday,27.22668188333333
vehicle_breakdown,private_bus,Magadi Road,False,High,9,Wednesday,33.101952716666666
vehicle_breakdown,private_car,Mysore Road,False,High,12,Tuesday,21.942543016666665
vehicle_breakdown,private_car,Mysore Road,False,High,12,Tuesday,9.57339495
others,unknown,Bellary Road 1,False,High,12,Tuesday,3801.1654547
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,10,Wednesday,14.661646350000002
water_logging,unknown,Mysore Road,False,High,11,Wednesday,1341.8618717
water_logging,unknown,Bellary Road 1,False,High,11,Wednesday,3913.5393192166666
vehicle_breakdown,heavy_vehicle,ORR East 1,False,High,23,Tuesday,32.482557983333336
others,unknown,Tumkur Road,True,High,16,Tuesday,425.9449986166667
others,unknown,Non-corridor,True,Low,0,Wednesday,3387.139090366667
vehicle_breakdown,others,Non-corridor,True,Low,0,Wednesday,68.54527198333334
vehicle_breakdown,heavy_vehicle,Bellary Road 2,False,High,1,Wednesday,141.574881
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,13,Wednesday,87.93818821666667
water_logging,unknown,Old Madras Road,False,High,2,Wednesday,36.627531100000006
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,2,Wednesday,60.76119708333333
vehicle_breakdown,bmtc_bus,Mysore Road,True,High,3,Wednesday,33.748134783333334
vehicle_breakdown,bmtc_bus,Tumkur Road,False,High,4,Wednesday,114.61164653333334
vehicle_breakdown,lcv,Mysore Road,False,High,5,Wednesday,95.59043028333332
vehicle_breakdown,bmtc_bus,Hosur Road,False,High,8,Wednesday,11.97852685
vehicle_breakdown,bmtc_bus,Magadi Road,False,High,9,Wednesday,24.2304184
vehicle_breakdown,heavy_vehicle,Mysore Road,False,High,0,Thursday,22.292497583333333
others,unknown,Bellary Road 2,False,High,0,Thursday,76.19266588333333
vehicle_breakdown,bmtc_bus,ORR East 1,False,High,10,Wednesday,109.25451818333332
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,11,Wednesday,89.5580396
others,unknown,Non-corridor,False,Low,11,Wednesday,180.91461453333332
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,11,Wednesday,62.10533875
vehicle_breakdown,bmtc_bus,Bellary Road 2,False,High,12,Wednesday,4.185284566666667
construction,unknown,Non-corridor,False,Low,1,Thursday,365.8770966
vehicle_breakdown,heavy_vehicle,ORR North 2,False,High,0,Thursday,47.697048333333335
vehicle_breakdown,bmtc_bus,Bannerghata Road,False,High,1,Thursday,62.15927346666667
water_logging,unknown,Non-corridor,False,Low,2,Thursday,1638.5179018833333
vehicle_breakdown,others,Non-corridor,False,Low,2,Thursday,12.48767995
vehicle_breakdown,bmtc_bus,Bannerghata Road,False,High,2,Thursday,27.9523293
construction,unknown,Non-corridor,False,Low,3,Thursday,624.2569785666667
vehicle_breakdown,lcv,Tumkur Road,False,High,4,Thursday,25.9073017
vehicle_breakdown,lcv,Non-corridor,False,Low,5,Thursday,80.1326431
vehicle_breakdown,private_car,Bellary Road 2,False,High,3,Thursday,29.472658016666667
vehicle_breakdown,ksrtc_bus,Non-corridor,False,Low,4,Thursday,32.38240151666667
vehicle_breakdown,bmtc_bus,Non-corridor,True,Low,4,Thursday,130.85829606666667
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,5,Thursday,3.172573133333333
vehicle_breakdown,private_bus,ORR North 1,False,High,10,Thursday,126.05797051666669
vehicle_breakdown,private_bus,Bellary Road 1,False,High,10,Thursday,68.5412746
vehicle_breakdown,private_bus,Non-corridor,False,Low,6,Thursday,48.84292761666666
vehicle_breakdown,ksrtc_bus,Bellary Road 1,False,High,7,Thursday,25.32421443333333
vehicle_breakdown,lcv,ORR North 2,False,High,12,Thursday,20.49097971666667
vehicle_breakdown,heavy_vehicle,Non-corridor,False,Low,11,Thursday,74.69350561666667
vehicle_breakdown,private_car,Non-corridor,False,Low,0,Friday,21.15403888333333
vehicle_breakdown,ksrtc_bus,Non-corridor,False,Low,1,Friday,15.905597883333334
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,4,Friday,128.41844893333334
pot_holes,unknown,Non-corridor,False,Low,3,Friday,1489.0271123833334
pot_holes,unknown,Non-corridor,False,Low,3,Friday,1490.3736745166668
vehicle_breakdown,heavy_vehicle,ORR North 1,False,High,6,Friday,32.5034449
vehicle_breakdown,truck,ORR East 2,False,High,6,Friday,66.92851234999999
pot_holes,unknown,Non-corridor,False,Low,3,Friday,1490.3403477333334
others,unknown,Mysore Road,False,High,9,Friday,119.54685436666666
tree_fall,unknown,Non-corridor,True,Low,13,Thursday,79.37274963333333
vehicle_breakdown,bmtc_bus,Magadi Road,False,High,13,Thursday,153.41269573333332
accident,unknown,ORR North 1,False,High,15,Thursday,52.03779613333334
vehicle_breakdown,bmtc_bus,ORR West 1,False,High,12,Friday,27.9779026
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,11,Friday,77.07247735
vehicle_breakdown,lcv,Mysore Road,False,High,14,Friday,35.12267365
vehicle_breakdown,bmtc_bus,West of Chord Road,False,High,2,Saturday,49.20473728333333
vehicle_breakdown,lcv,Bellary Road 1,True,High,1,Saturday,37.30351836666667
vehicle_breakdown,bmtc_bus,Tumkur Road,False,High,1,Saturday,72.88357673333333
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,3,Friday,2.6236583
vehicle_breakdown,bmtc_bus,ORR East 1,False,High,3,Friday,97.77232951666666
road_conditions,unknown,ORR West 1,False,High,3,Friday,62.26401783333333
construction,unknown,Non-corridor,False,Low,4,Friday,1911.9671419166664
vehicle_breakdown,private_bus,Non-corridor,False,Low,3,Saturday,63.30596091666666
vehicle_breakdown,private_car,Tumkur Road,False,High,4,Friday,13.265553916666668
others,unknown,Non-corridor,False,Low,6,Saturday,34.995653966666666
vehicle_breakdown,lcv,Tumkur Road,False,High,5,Saturday,28.267420583333333
vehicle_breakdown,private_car,ORR East 1,False,High,4,Saturday,120.9917747
road_conditions,unknown,Non-corridor,False,Low,6,Friday,1.6786465666666668
accident,unknown,Old Madras Road,False,High,6,Friday,41.571545316666665
vehicle_breakdown,ksrtc_bus,Mysore Road,False,High,8,Saturday,34.62066285
others,unknown,Non-corridor,False,Low,7,Saturday,1764.0597806833332
water_logging,unknown,Bannerghata Road,False,High,7,Saturday,2568.276213
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,8,Friday,122.88383688333332
vehicle_breakdown,private_bus,ORR West 1,False,High,9,Saturday,45.38100588333334
vehicle_breakdown,private_car,Hosur Road,False,High,10,Saturday,15.76206795
vehicle_breakdown,heavy_vehicle,ORR North 1,False,High,10,Friday,124.13244701666667
vehicle_breakdown,truck,Mysore Road,False,High,9,Friday,28.3823993
vehicle_breakdown,private_car,Bellary Road 1,False,High,11,Friday,49.68857495
tree_fall,unknown,Bellary Road 1,True,High,22,Saturday,141.58774876666666
vehicle_breakdown,bmtc_bus,Bellary Road 2,False,High,0,Sunday,65.21049980000001
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,2,Sunday,21.79317205
vehicle_breakdown,others,Bellary Road 2,False,High,2,Sunday,65.78450945
vehicle_breakdown,lcv,Bannerghata Road,False,High,13,Friday,29.872228166666662
vehicle_breakdown,private_bus,ORR East 1,False,High,3,Sunday,47.78352503333333
accident,unknown,Non-corridor,False,Low,3,Sunday,64.67699146666666
vehicle_breakdown,bmtc_bus,Mysore Road,False,High,5,Sunday,41.27645373333333
others,unknown,Magadi Road,False,High,6,Sunday,222.83057628333333
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,8,Sunday,116.41837865
vehicle_breakdown,heavy_vehicle,Old Madras Road,False,High,23,Friday,75.1976845
vehicle_breakdown,private_car,CBD 2,False,High,10,Sunday,60.0840213
accident,unknown,Hosur Road,True,High,0,Saturday,74.62887731666666
vehicle_breakdown,bmtc_bus,ORR North 1,False,High,11,Sunday,10.619932433333334
vehicle_breakdown,heavy_vehicle,ORR North 1,True,High,0,Saturday,130.6786535
others,unknown,Bellary Road 1,False,High,14,Sunday,8.213493783333332
tree_fall,unknown,Non-corridor,False,Low,1,Saturday,48.916281016666666
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,2,Saturday,136.8639617
vehicle_breakdown,lcv,Bannerghata Road,False,High,1,Monday,64.36110058333334
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,0,Monday,33.71126616666667
pot_holes,unknown,Non-corridor,False,Low,2,Saturday,3178.621194833333
vehicle_breakdown,heavy_vehicle,Mysore Road,False,High,4,Saturday,41.39133718333333
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,4,Saturday,126.48344196666667
vehicle_breakdown,bmtc_bus,ORR North 1,False,High,6,Monday,102.31517605
vehicle_breakdown,bmtc_bus,Magadi Road,False,High,6,Saturday,17.968402516666668
vehicle_breakdown,ksrtc_bus,Magadi Road,False,High,7,Saturday,23.66387493333333
vehicle_breakdown,others,Mysore Road,False,High,8,Monday,75.36809358333333
vehicle_breakdown,lcv,Magadi Road,True,High,7,Saturday,79.74376296666667
vehicle_breakdown,others,Mysore Road,False,High,8,Monday,94.79220713333332
vehicle_breakdown,bmtc_bus,Non-corridor,False,Low,11,Monday,25.56185143333333
